input,output
correct: ماں نے مزیدار سالن بنایا بنایا آج,ماں نے آج مزیدار سالن بنایا
correct: اس نے بار بی کیہو کے لیے چکن میرینیٹ کیا,اس نے بار بی کیو کے لیے چکن میرینیٹ کیا
correct: کھلاڑیوں نے کی محنت بہت جیتنے کے لیے,کھلاڑیوں نے جیتنے کے لیے بہت محنت کی
correct: پولیس نے جائے وقوعہ کا تفصیلی معائنہ کیا,پولیس نے تفصیلی معائنہ جائے وقوعہ کا کیا
correct: ہم نے کیمپ لگا کر رات رات پہاڑوں میں گزاری,ہم نے کیمپ لگا کر رات پہاڑوں میں گزاری
correct: ہم نے دیکھی ویڈیو سائنس تجربہ,ہم نے سائنس کے تجربے کی ویڈیو دیکھی
correct: گائیڈ ہمیں جنگل معلومات دی,گائیڈ نے ہمیں جنگل کے بارے میں معلومات دیں
correct: رشتہ دار آئے دور سے ملنے ہمیں,دور سے رشتہ دار ہم سے ملنے آئے
correct: ہم نے پڑھی نوٹس امتحان سے پہلے,ہم نے امتحان سے پہلے نوٹس پڑھے
correct: ادبی تقریب ملک بھر کے ادیب شریک ہوئے,ادبی تقریب میں ملک بھر کے ادیب شریک ہوئے
correct: پرانے شہر کی گلیوں میں گھومنا بہت اچہا لگا,پرانے شہر کی گلیوں میں گھومنا بہت اچھا لگا
correct: گھر کے باہر کھڑی ہے گاڑی کوئی,گھر کے باہر کوئی گاڑی کھڑی ہے
correct: میں نے اسائنمنٹ وقت پر جمع کروایا کروایا,میں نے اسائنمنٹ وقت پر جمع کروایا
correct: ڈاکٹر نے مریض کا تفصیلی تفصیلی معائنہ کیا,ڈاکٹر نے مریض کا تفصیلی معائنہ کیا
correct: میں نے پیزا کھایا بہت مزیدار مزیدار,میں نے مزیدار پیزا کھایا
correct: اس مشین کو چلانے کا طریقہ بہت آسان آسان ہے,اس مشین کو چلانے کا طریقہ بہت آسان ہے
correct: وہ کل بہت دیر سے آیا اور گیا تھا,وہ کل بہت دیر سے آیا تھا
correct: اسلام آباد میں ہوئی میٹنگ,اسلام آباد میں میٹنگ ہوئی
correct: طبیعت پینے سے قہوہ تروتازہ ہو جاتی ہے,قہوہ پینے سے طبیعت تروتازہ ہو جاتی ہے
correct: فنانس ڈیپارٹمنٹ نے ماہانہ رپورٹ کر لی تیار,فنانس ڈیپارٹمنٹ نے ماہانہ رپورٹ تیار کر لی
correct: کل نمائش میں بہت سی تصویریں موجود تھا,کل نمائش میں بہت سی تصویریں موجود تھیں
correct: ہم نے کام کیا ہے اور مکمل ہے,ہم نے کام کیا ہے اور مکمل کیا ہے
correct: میں نے گهر سے جلدی نکلا,میں گھر سے جلدی نکلا
correct: وکیل نے عدالت میں قانونی نکات واضح کیے,وکیل نے قانونی نکات عدالت میں واضح کیے
correct: بین الاقوامی کانفرنس میں کئی ممالک نے شرکت کی کی,بین الاقوامی کانفرنس میں کئی ممالک نے شرکت کی
correct: ٹیم نے کام کام کو مکمل کیا,ٹیم نے کام مکمل کیا
correct: میرا بہن بہت اچھا پکاتی ہے,میری بہن بہت اچھا پکاتی ہے
correct: گائیڈ ہمیں لے گیا قلعے میں اور بتایا تاریخ اس کی,گائیڈ ہمیں قلعے میں لے گیا اور اس کی تاریخ بتائی
correct: وہ لڑکا جھیل میں نہا رہی تھی,وہ لڑکا جھیل میں نہا رہا تھا
correct: ایچ آر نے نئی پالیسی ملازمین کو بتائی,ایچ آر نے نئی پالیسی بتائی ملازمین کو
correct: اس مشین کو چلانے آسان ہے کا طریقہ بہت,اس مشین کو چلانے کا طریقہ بہت آسان ہے
correct: ایچ آر نے نے نئے ملازمین کی ٹریننگ کا اہتمام کیا,ایچ آر نے نئے ملازمین کی ٹریننگ کا اہتمام کیا
correct: میں نے سائنس فیئر طلبہ مختلف پراجیکٹس پیش کیے,طلبہ نے سائنس فیئر میں مختلف پراجیکٹس پیش کیے
correct: ابو لائے میوے تازہ بازار سے آج,ابو آج بازار سے تازہ میوے لائے
correct: اس بار بی کیو کے لیے چکن میرینیٹ کیا,اس نے بار بی کیو کے لیے چکن میرینیٹ کیا
correct: انتخابی مہم میں تمام جماعتیں بڑھ چڑھ رہی حصہ لے کر ہیں,انتخابی مہم میں تمام جماعتیں بڑھ چڑھ کر حصہ لے رہی ہیں
correct: بچوں کے لیے خصوصی کارٹون کی گئی فلم ریلیز,بچوں کے لیے خصوصی کارٹون فلم ریلیز کی گئی
correct: وہ ڈاکٹر کے پاس اپنا اپنا چیک اپ کروانے گیا,وہ ڈاکٹر کے پاس اپنا چیک اپ کروانے گیا
correct: جج صاحب نے فیصلہ سناتے ہوئے قانونی دفعات کا حوالہ دیاا,جج صاحب نے فیصلہ سناتے ہوئے قانونی دفعات کا حوالہ دیا
correct: ہم نے پراجیکٹ مکمل کیا اور رپورٹ جمع کروایا,ہم نے پراجیکٹ مکمل کیا اور رپورٹ جمع کروائی
correct: سیاحوں نے کی مقامات تاریخی سیر کی,سیاحوں نے تاریخی مقامات کی سیر کی
correct: طلبہ نے ڈیٹا کے لیے مختلف ذرائع سے تحقیق اکٹھا کیا,طلبہ نے تحقیق کے لیے مختلف ذرائع سے ڈیٹا اکٹھا کیا
correct: ہم نے کیا انتظار گھنٹوں اس کا,ہم نے گھنٹوں اس کا انتظار کیا
correct: اسکوائش مقابلہ ہوا کورٹ پر زبردست,اسکوائش کورٹ پر زبردست مقابلہ ہوا
correct: پانی بھرا ہوا ہے بالٹی میں پورا,بالٹی میں پورا پانی بھرا ہوا ہے
correct: ڈاکٹر نے مریض وارڈ داخل کیا,ڈاکٹر نے مریض کو وارڈ میں داخل کیا
correct: ہم نے AI ماڈل ٹرین کیا اور کیا,ہم نے AI ماڈل ٹرین کیا
correct: ہم نے سفر کے دوران بہت مزہ کر رہے تھے,ہم نے سفر کے دوران بہت مزہ کیا
correct: ہم کنسرٹ میں موسیقی سے بہت لطف اٹھایا,ہم نے کنسرٹ میں موسیقی سے بہت لطف اٹھایا
correct: سیاحوں نے تاریخی سیر کی مقامات کی,سیاحوں نے تاریخی مقامات کی سیر کی
correct: میرا چھوٹا بھائی کمرے میں کھلونوں رہا ہے سے کھیل,میرا چھوٹا بھائی کمرے میں کھلونوں سے کھیل رہا ہے
correct: کلائنٹ سے ہم نے معاہدے پر بات کی تفصیلی,ہم نے کلائنٹ سے معاہدے پر تفصیلی بات کی
correct: آن لائن سہولت ہے آرڈر کرنے پر مفت ڈیلیوری کی,آن لائن آرڈر کرنے پر مفت ڈیلیوری کی سہولت ہے
correct: آج اس کے گهر جانا ہے,آج اس کے گھر جانا ہے
correct: ڈاکٹر نے مریض کا مکمل معائنہ کیا,ڈاکٹر نے مکمل معائنہ مریض کا کیا
correct: حکومت نے بجلی کے نرخوں میں کمی کا اعلان کیہا,حکومت نے بجلی کے نرخوں میں کمی کا اعلان کیا
correct کھلاڑی نے گیند کو بلے سے مارا اور وہ بہت دور چلی گئی تھی,کھلاڑی نے گیند بہت دور ماری
correct: کمپنی نئے سپلائرز کے ساتھ نے معاہدے کیے,کمپنی نے سپلائرز کے ساتھ نئے معاہدے کیے
correct: مینیجر نے سب کو ای میل بھیجے ہیں,مینیجر نے سب کو ای میل بھیجی ہے
correct: پولیس نے موقع پر کارروائی کی,پولیس نے موقع پر فوری کارروائی کی
correct: میں نے آج آج صبح بہت اچھی چائے پی,میں نے آج صبح بہت اچھی چائے پی
correct: ہم نے آن لائن پلیٹ فارم پر لانچ کیا نیا فیچر,ہم نے آن لائن پلیٹ فارم پر نیا فیچر لانچ کیا
correct: طلبہ نے کلاس میں توجہ لیکچر سنا,طلبہ نے کلاس میں توجہ سے لیکچر سنا
correct: بچوں نے دوپہر میں کر لیا اپنا ہوم ورک مکمل,بچوں نے دوپہر میں اپنا ہوم ورک مکمل کر لیا
correct: وہ بیمار ہے اور بیماری میں ہے,وہ بیمار ہے
correct: کل کی بارش بہت تیز تھے,کل کی بارش بہت تیز تھی
correct: ڈین آفس نے طلبہ حتمی نتائج سے آگاہ کر دیا,ڈین آفس نے طلبہ کو حتمی نتائج سے آگاہ کر دیا
correct: روح خوانی کی محفل نے سوز کو معطر کر دیا,سوز خوانی کی محفل نے روح کو معطر کر دیا
correct: حکومت نے فیصلہ لیا ہیں,حکومت نے فیصلہ لیا ہے
correct: سردیوں میں گاجر کا کھانا چاہیے حلوہ ضرور,سردیوں میں گاجر کا حلوہ ضرور کھانا چاہیے
correct: مچھلی کو سے کرنے فرائی پہلے مسالے لگائے,مچھلی کو فرائی کرنے سے پہلے مسالے لگائے
correct: میں نے آج سبزی خریدی اور ترکاری لی,میں نے آج سبزی خریدی
correct: یہ تھیٹر بہت پرانا ہیں,یہ تھیٹر بہت پرانا ہے
correct: کوہ پیماؤں نے کے ٹو کی چوٹی سر کرنے کی کوشش کیا,کوہ پیماؤں نے کے ٹو کی چوٹی سر کرنے کی کوشش کی
correct: ہم نے ای میل کلائنٹ ارسال کی,ہم نے ای میل کلائنٹ کو ارسال کی
correct: مقامی لوگوں گرمجوشی سیاحوں کا نے سے استقبال کیا,مقامی لوگوں نے سیاحوں کا گرمجوشی سے استقبال کیا
correct: ٹیم نے رپورٹ اپلوڈ کی,ٹیم نے رپورٹ اپ لوڈ کی
correct: بینک اکاؤنٹ کھولنے کے لیے شناختی کارڈ درکار ہیں,بینک اکاؤنٹ کھولنے کے لیے شناختی کارڈ درکار ہے
correct: بن گیا ہیرو آخری بال پر,آخری بال پر ہیرو بن گیا
correct: وہ پہاڑوں کی چوٹی تک ٹریکنگ کر کر کے گیا,وہ پہاڑوں کی چوٹی تک ٹریکنگ کر کے گیا
correct: یہ ڈراما معاشرتی مسائل بہترین انداز پیش کرتا ہے,یہ ڈراما معاشرتی مسائل کو بہترین انداز میں پیش کرتا ہے
correct: سٹاک رجحان رہا مارکیٹ میں آج تیزی کا,سٹاک مارکیٹ میں آج تیزی کا رجحان رہا
correct: دکان میں ہر قسم کا دستیاب سامان برقی ہے,دکان میں ہر قسم کا برقی سامان دستیاب ہے
correct: سٹاک مارکیٹ میں آج رجحان رہا تیزی کا,سٹاک مارکیٹ میں آج تیزی کا رجحان رہا
correct: ہم نے ڈیٹا کا تجزیہ کیا ہے کل رات,ہم نے کل رات ڈیٹا کا تجزیہ کیا ہے
correct: میری امی بنائی ہے نے دوپہر کے لیے بریانی,میری امی نے دوپہر کے لیے بریانی بنائی ہے
correct: کالج میں سالانہ کھیلوں کے مقابلے منعقد کیے گئیں,کالج میں سالانہ کھیلوں کے مقابلے منعقد کیے گئے
correct: حزب اختلاف نے حکومتی پالیسی تنقید کی پر,حزب اختلاف نے حکومتی پالیسی پر تنقید کی
correct: ہم نے آن لائن کتابیں ویب سائٹ سے شاپنگ منگوائیں,ہم نے آن لائن شاپنگ ویب سائٹ سے کتابیں منگوائیں
correct: مہمانوں کے لیے قورمہ اور نان کا اہتمام کیا گئی,مہمانوں کے لیے قورمہ اور نان کا اہتمام کیا گیا
correct: میں نے کھانا اور پھر سو گیا,میں نے کھانا کھایا اور پھر سو گیا
correct: چھوٹی بچی بچی نے اپنی گڑیا کو کپڑے پہنائے,چھوٹی بچی نے اپنی گڑیا کو کپڑے پہنائے
correct: رات کو کی جانے بجلی وجہ سے پنکھا بند ہو گیا,رات کو بجلی جانے کی وجہ سے پنکھا بند ہو گیا
correct: حکومت نے کسانوں کے لیے سبسڈی پیکج اعلان کیا,حکومت نے کسانوں کے لیے سبسڈی پیکج کا اعلان کیا
correct: میں نے استعمال کیا فون نئی ایپ کے ذریعے,میں نے نئی ایپ کے ذریعے فون استعمال کیا
correct: کھلاڑیوں نے کوچ کو نئی حکمت عملی سمجھائی,کوچ نے کھلاڑیوں کو نئی حکمت عملی سمجھائی
correct: گلوکارہ نے غزل بہت خوبصورت گایا,گلوکارہ نے غزل بہت خوبصورت انداز میں گایا
correct: وہ اداکارہ بہت اچھا اداکاری کرتی ہے,وہ اداکارہ بہت اچھی اداکاری کرتی ہے
correct: میں نے ریفرنس بک استعمال کی,میں نے ریفرینس بک استعمال کی
correct: ہم نے امتحان دیا دیا اور دیا,ہم نے امتحان دیا
correct: وکیل نے کیس عدالت لڑا,وکیل نے کیس عدالت میں لڑا
correct: وکیل وکیل نے مقدمہ لڑا,وکیل نے مقدمہ لڑا
correct: میں نے امتحان دیا اور میں کامیاب ہو گئے,میں نے امتحان دیا اور میں کامیاب ہو گیا
correct: میں نے ڈھونڈا چابی کافی دیر پر نہیں ملی,میں نے کافی دیر چابی ڈھونڈی پر نہیں ملی
correct: ٹیم نے سافٹ ویئر انسٹال کیا دفتر,ٹیم نے دفتر میں سافٹ ویئر انسٹال کیا
correct: ہم گئے تھے آرٹ نمائش دیکھنے اتوار کے دن,ہم اتوار کے دن آرٹ نمائش دیکھنے گئے تھے
correct: وہ چوٹی کی پہاڑوں تک ٹریکنگ کر کے گیا,وہ پہاڑوں کی چوٹی تک ٹریکنگ کر کے گیا
correct: وہ روزانہ دوپہر کے بعد بعد تھوڑی دیر آرام کرتا ہے,وہ روزانہ دوپہر کے بعد تھوڑی دیر آرام کرتا ہے
correct: کلاسیں شروع ہونے سے پہلے بچے کھیل رہے تھیں,کلاسیں شروع ہونے سے پہلے بچے کھیل رہے تھے
correct: یہ کتاب بہت مشکل ہیں,یہ کتاب بہت مشکل ہے
correct: مینیجر نے میٹنگ بلائی فوری کل,مینیجر نے کل فوری میٹنگ بلائی
correct: آج بارس ہو گئی اچانک,آج اچانک بارش ہو گئی
correct: ایچ آر نے نئے ملازمین کی ٹریننگ کا اہتمام کیہا,ایچ آر نے نئے ملازمین کی ٹریننگ کا اہتمام کیا
correct: آمد کا میں پینے شیک بہت لذیذ تھا,آمد کا شیک پینے میں بہت لذیذ تھا
correct: آج بارش بہت تیز ہو رہی ھے,آج بارش بہت تیز ہو رہی ہے
correct: عید کے کے موقع پر خصوصی ڈرامہ پیش کیا گیا,عید کے موقع پر خصوصی ڈرامہ پیش کیا گیا
correct: شہر میں ٹریفک حادثے افراد پانچ میں زخمی ہو گئے,شہر میں ٹریفک حادثے میں پانچ افراد زخمی ہو گئے
correct: وہ اکثر کھیلتا ہے شام کو پارک میں,وہ اکثر شام کو پارک میں کھیلتا ہے
correct: دادی اماں کہانی سنائی نے ہمیں پرانی,دادی اماں نے ہمیں پرانی کہانی سنائی
correct: بچوں نے توڑا کھلونا نیا پہلے دن,بچوں نے پہلے دن نیا کھلونا توڑا
correct: اس مشین کو چلانے کا طریقہ آسان ہے بہت,اس مشین کو چلانے کا طریقہ بہت آسان ہے
correct: سائنسدانوں نے نئی تحقیق کے نتائج شائع کر دیاے,سائنسدانوں نے نئی تحقیق کے نتائج شائع کر دیے
correct: عدالت نے مقدمے کی اگلی تاریخ تاریخ مقرر کر دی,عدالت نے مقدمے کی اگلی تاریخ مقرر کر دی
correct: برانڈڈ رہا ہے گھڑیوں پر دس فیصد ڈسکاؤنٹ دیا جا,برانڈڈ گھڑیوں پر دس فیصد ڈسکاؤنٹ دیا جا رہا ہے
correct: اس نے مجھ کو بتایا کہ وہ ٹهیک ہے,اس نے مجھے بتایا کہ وہ ٹھیک ہے
correct: مہمانوں کے لیے قورمہ اور نان کیا گیا کا اہتمام,مہمانوں کے لیے قورمہ اور نان کا اہتمام کیا گیا
correct: میں نے یونیورسٹی میں پریزنٹیشن دی دی,میں نے یونیورسٹی میں پریزنٹیشن دی
correct: وہ روز رات کو کتاب پڑھ کر سوتا سوتا ہے,وہ روز رات کو کتاب پڑھ کر سوتا ہے
correct: قدرتی سکون دیا مناظر نے دل کو بہت,قدرتی مناظر نے دل کو بہت سکون دیا
correct: آج کا موسم ٹھنڈا اور سرد ہے,آج کا موسم ٹھنڈا ہے
correct: پرنسپل نے طلبہ کی کارکردگی کارکردگی کا جائزہ لیا,پرنسپل نے طلبہ کی کارکردگی کا جائزہ لیا
correct: ڈرامے میں شامل تھے کئی معروف اداکار,ڈرامے میں کئی معروف اداکار شامل تھے
correct: وہ صبح ناشتے میں پراٹھا اور چائے چائے لیتا ہے,وہ صبح ناشتے میں پراٹھا اور چائے لیتا ہے
correct: ہو گئی جیت شاندار ٹیم کی,ٹیم کی شاندار جیت ہو گئی
correct: میں نے پھل ناشتے میں روز کھائے,میں نے ناشتے میں پھل روز کھائے
correct: ہم نے تھیٹر میں ایک ایک مزاحیہ ڈراما دیکھا,ہم نے تھیٹر میں ایک مزاحیہ ڈراما دیکھا
correct: چین اور امریکہ کے درمیان جاری ہے بات چیت,چین اور امریکہ کے درمیان بات چیت جاری ہے
correct: ہو گئی ٹریننگ مکمل,ٹریننگ مکمل ہو گئی
correct: طلبہ نے گروپ ڈسکشن میں اپنے خیالات اظہار کیا,طلبہ نے گروپ ڈسکشن میں اپنے خیالات کا اظہار کیا
correct: میں نے چائے پی اور آرام کیا تھا,میں نے چائے پی اور آرام کیا
correct: میں نے کل ایک ڈراما دیکھی تھی تھیٹر میں,میں نے کل تھیٹر میں ایک ڈراما دیکھا تھا
correct: وہ دفتر نہیں آیا تھے کل,وہ کل دفتر نہیں آیا تھا
correct: ہم نے چکن کڑاہی کھائی مزے سے,ہم نے مزے سے چکن کڑاہی کھائی
correct: جنریٹو اے آئی کورس میں ہم نے بہت کچھ سیکھا تھا اور یہ مفید تھا,جنریٹو اے آئی کورس میں ہم نے بہت کچھ سیکھا جو مفید تھا
correct: حکومت نے لیا فیصلہ,حکومت نے فیصلہ لیا
correct: ہم ہم نے رپورٹ لکھی ہے,ہم نے رپورٹ لکھی ہے
correct: امریکی صدر ملاقات کی ہے وزیراعظم سے,امریکی صدر نے وزیراعظم سے ملاقات کی ہے
correct: ہم نے تھیٹر تھیٹر میں ایک دلچسپ پیشکش دیکھی,ہم نے تھیٹر میں ایک دلچسپ پیشکش دیکھی
correct: ہم نے لیکچر نوٹس بنائے بنائے,ہم نے لیکچر نوٹس بنائے
correct: چائے ساتھ پراٹھا بہت اچھا لگا,چائے کے ساتھ پراٹھا بہت اچھا لگا
correct: بچوں کو بہت بہوک لگی ہے,بچوں کو بہت بھوک لگی ہے
correct: ہم نے جنریٹو اے آئی کورس میں کوڈ لکھا تھا اور پھر ہم نے اسے successfully چلایا تھا,ہم نے جنریٹو اے آئی کورس میں کوڈ لکھا اور اسے successfully چلایا
correct: بینک دولت نے نے شرح سود میں اضافے کا اعلان کیا,بینک دولت نے شرح سود میں اضافے کا اعلان کیا
correct: ہم نے پروجیکٹ مکمل مکمل کیا کل,ہم نے پروجیکٹ مکمل کیا کل
correct: ہمارے گھر کے سامنے ایک باغ ہے خوبصورت,ہمارے گھر کے سامنے ایک خوبصورت باغ ہے
correct: بچے باہر کهیل رہے ہیں,بچے باہر کھیل رہے ہیں
correct: اس گھر کا دروازہ بند ہے ہیں,اس گھر کا دروازہ بند ہے
correct: لیجنڈ اداکار شاندار تھیٹر میں نے پرفارمنس دی,لیجنڈ اداکار نے تھیٹر میں شاندار پرفارمنس دی
correct: بچے چھٹی والے دن سوتے تک دیر ہیں,بچے چھٹی والے دن دیر تک سوتے ہیں
correct: میں کل دفتر میں حاضر ہو کر رپورٹ دوں گا جمع کرا,میں کل دفتر میں حاضر ہو کر رپورٹ جمع کرا دوں گا
correct: ڈاکٹر نے مریض کی مکمل جانچ کے بعد دوا تجویز کیا,ڈاکٹر نے مریض کی مکمل جانچ کے بعد دوا تجویز کی
correct: میں نے دیکھا خواب اچھا رات کو,میں نے رات کو اچھا خواب دیکھا
correct: سیلاب زدہ علاقوں میں امدادیا کارروائیاں جاری ہیں,سیلاب زدہ علاقوں میں امدادی کارروائیاں جاری ہیں
correct: سالن میں لیموں رس ڈالنے سے ذائقہ بڑھ جاتا ہے,سالن میں لیموں کا رس ڈالنے سے ذائقہ بڑھ جاتا ہے
correct: ہم پارک گیا اور چائے پی,ہم پارک گئے اور چائے پی
correct: سمندر کے کنارے شام منظر نہایت دلکش تھا,سمندر کے کنارے شام کا منظر نہایت دلکش تھا
correct: ایمیزون پرائم کے ممبران کو مفت ڈیلیاوری ملتی ہے,ایمیزون پرائم کے ممبران کو مفت ڈیلیوری ملتی ہے
correct: طلبہ کو لائبریری میں جا کر کر حوالہ جاتی کتب دیکھنے کا کہا گیا,طلبہ کو لائبریری میں جا کر حوالہ جاتی کتب دیکھنے کا کہا گیا
correct: ہم نے اسائنمنٹ جمع کروایا کروایا,ہم نے اسائنمنٹ جمع کروایا
correct: آج کا کہانا بہت لذیذ تھا,آج کا کھانا بہت لذیذ تھا
correct: بچوں کے لیے خصوصی کارٹون فلم ریلیز کی کی گئی,بچوں کے لیے خصوصی کارٹون فلم ریلیز کی گئی
correct: وہ روز اپنی بہن سے ملتہ ہے,وہ روز اپنی بہن سے ملتا ہے
correct: پولیس نے منشیات خلاف کے فروشوں کارروائی کی,پولیس نے منشیات فروشوں کے خلاف کارروائی کی
correct: میری والدہ گھر میں ہیں اور موجود ہیں,میری والدہ گھر میں ہیں
correct: میں نے سنی بات اس کی توجہ سے,میں نے توجہ سے اس کی بات سنی
correct: وہ روز صبح کافی پیتا ہیں گھر میں,وہ روز صبح گھر میں کافی پیتا ہے
correct: ہم نے کلائنٹ کو پروجیکٹ کی پیش رفت بتائی,ہم نے پروجیکٹ کی پیش رفت کلائنٹ کو بتائی
correct: سائنس کلاس میں ہم نے نیا باب پڑھا باب,سائنس کلاس میں ہم نے نیا باب پڑھا
correct: فائنل ٹیم نے ہاکی میں جگہ بنا لی,ہاکی ٹیم نے فائنل میں جگہ بنا لی
correct: ہم نے آرٹ گیلری میں تمام تمام جدید اور کلاسیکی فن پارے دیکھے,ہم نے آرٹ گیلری میں جدید اور کلاسیکی فن پارے دیکھے
correct: میں نے دوست ملاقات کی کل,میں نے کل دوست سے ملاقات کی
correct: سالن میں لیموں کا رس ڈالنے جاتا ہے سے ذائقہ بڑھ,سالن میں لیموں کا رس ڈالنے سے ذائقہ بڑھ جاتا ہے
correct: یہ ڈش پشاور کے روایتی انداز میں بنائی گیا تھا,یہ ڈش پشاور کے روایتی انداز میں بنائی گئی تھی
correct: میں کل دیر سے سویا تھا اور آج میں جلدی نہیں اٹھ سکا تھا,میں کل دیر سے سویا تھا اور آج جلدی نہیں اٹھ سکا
correct: دکان میں ہر دستیاب ہے قسم کا برقی سامان,دکان میں ہر قسم کا برقی سامان دستیاب ہے
correct: اس گانے کے بول بہت دلکش ہے,اس گانے کے بول بہت دلکش ہیں
correct: میں نے نوٹس بنائے اور بنائے,میں نے نوٹس بنائے
correct: چائے ٹھنڈی ہو گئی بات کرتے کرتے,بات کرتے کرتے چائے ٹھنڈی ہو گئی
correct: ہم نے مری میں برف باری مزہ لیا,ہم نے مری میں برف باری کا مزہ لیا
correct: ڈاکٹر نے معائنہ کیا مریض کا تفصیلی,ڈاکٹر نے مریض کا تفصیلی معائنہ کیا
correct: وہ عید کے لیے نئے کپڑے بازار گئی لینے,وہ عید کے لیے نئے کپڑے لینے بازار گئی
correct: آج میرے گھر مہمان آئے تھے اور ہم نے بہت اچھا وقت گزارا تھا,آج میرے گھر مہمان آئے اور ہم نے بہت اچھا وقت گزارا
correct: ہم کل فلم بہت دلچسپ دیکھی,ہم نے کل بہت دلچسپ فلم دیکھی
correct: FAST یونیورسٹی میں کلاسز بہت fast چلتی ہیں اور ہمیں ہر وقت focus کرنا پڑتا ہے وہاں,FAST یونیورسٹی میں کلاسز بہت fast چلتی ہیں اور ہمیں ہر وقت focus کرنا پڑتا ہے
correct: وہ عید عید کے لیے نئے کپڑے لینے بازار گئی,وہ عید کے لیے نئے کپڑے لینے بازار گئی
correct: گائیڈ نے ہمیں بہت دلچسپ معلومات بتائی تھا,گائیڈ نے ہمیں بہت دلچسپ معلومات بتائیں
correct: ہم نے مل کر کھایا کھانا اکٹھے,ہم نے مل کر اکٹھے کھانا کھایا
correct: ملک میں مہنگائی بڑھ گیا ہے,ملک میں مہنگائی بڑھ گئی ہے
correct: اس اداکار نے اپنی نئی فلم میں بہت بہترین اور شاندار کردار ادا کیا,اس اداکار نے اپنی نئی فلم میں شاندار کردار ادا کیا
correct: میں میں نے درخواست دی ہے,میں نے درخواست دی ہے
correct: فٹ بالر نے خوبصورت گول کیہا,فٹ بالر نے خوبصورت گول کیا
correct: جمناسٹک اس نے طلائی تمغہ جیتا,جمناسٹک میں اس نے طلائی تمغہ جیتا
correct: ٹینس کھلاڑی نے مقابلہ جیت کر نام کیا ٹائٹل اپنے,ٹینس کھلاڑی نے مقابلہ جیت کر ٹائٹل اپنے نام کیا
correct: میں نے آج سارا دن گہر بیٹھ کر کتابیں پڑھیں,میں نے آج سارا دن گھر بیٹھ کر کتابیں پڑھیں
correct: کے نے منشیات فروشوں پولیس خلاف کارروائی کی,پولیس نے منشیات فروشوں کے خلاف کارروائی کی
correct: پڑھائی میں مستقل مزاجی مزاجی کامیابی کی کنجی ہے,پڑھائی میں مستقل مزاجی کامیابی کی کنجی ہے
correct: وہ تیراکیہ میں مہارت رکھتا ہے,وہ تیراکی میں مہارت رکھتا ہے
correct: وہ ہوا میں اپنے گاؤں گیا چھٹیوں تھا,وہ چھٹیوں میں اپنے گاؤں گیا ہوا تھا
correct: فوک گلوکار نے دیہاتی گانا میں انداز گایا,فوک گلوکار نے دیہاتی انداز میں گانا گایا
correct: ہم نے جھیل میں کشتی چلایا تھا,ہم نے جھیل میں کشتی چلائی
correct: حکومت نے بجلی چوروں کے خلاف بڑا آپریشن شروع کی,حکومت نے بجلی چوروں کے خلاف بڑا آپریشن شروع کیا
correct: اساتذہ یونین نے تنخواہوں کے مسئلے پر احتجاج کی,اساتذہ یونین نے تنخواہوں کے مسئلے پر احتجاج کیا
correct: وہ سبح مسجد سے واپس آ کر قرآن پڑھتا ہے,وہ صبح مسجد سے واپس آ کر قرآن پڑھتا ہے
correct: ہم نے دیکھا کھیل ٹی وی,ہم نے ٹی وی پر کھیل دیکھا
correct: یو این نے طلب کی جنگ بندی,یو این نے جنگ بندی طلب کی
correct: میں نے چکن سینڈوچ دوپہر میں کھایا,میں نے دوپہر میں چکن سینڈوچ کھایا
correct: وکیل نے کیس عدالت دلیل دی,وکیل نے کیس میں عدالت میں دلیل دی
correct: آج آج بارش بارش بہت تیز ہے ہے,آج بارش بہت تیز ہے
correct: وزیر خارجہ نے کی ملاقات,وزیر خارجہ نے ملاقات کی
correct: شاعر نے پڑھی نظم نئی بہت پراثر,شاعر نے بہت پراثر نئی نظم پڑھی
correct: مسافروں نے ایئرپورٹ پر چیک ان مکمل کیا وقت پر,مسافروں نے وقت پر ایئرپورٹ پر چیک ان مکمل کیا
correct: وہ جارہا ہے اور روانہ ہو رہا ہے,وہ جا رہا ہے
correct: وہ صبح مسجد سے واپس آ کر قرآن قرآن پڑھتا ہے,وہ صبح مسجد سے واپس آ کر قرآن پڑھتا ہے
correct: میں نے ای میل لکھا تھا کل,میں نے کل ای میل لکھی تھی
correct: میں میں نے فائل دی ہے,میں نے فائل دی ہے
correct: کل رات بارش ہوئی اور پانی گرا,کل رات بارش ہوئی
correct: ملکی معیشت میں بہتری کے رہے ہیں آثار نمایاں ہو,ملکی معیشت میں بہتری کے آثار نمایاں ہو رہے ہیں
correct: میرے ماموں کا گھر ہمارے گھر سے دور نہیں ہے ہے,میرے ماموں کا گھر ہمارے گھر سے دور نہیں ہے
correct: وہ بیمار ہے اور علیل ہے اور ٹھیک نہیں,وہ بیمار ہے
correct: تیار صبح جلدی اٹھ کر ناشتا وہ کرتی ہے,وہ صبح جلدی اٹھ کر ناشتا تیار کرتی ہے
correct: گائیڈ تاریخ بتائی نے ہمیں قلعے کی,گائیڈ نے ہمیں قلعے کی تاریخ بتائی
correct: میں نے رپورٹ کل مکمل کیا تھا,میں نے کل رپورٹ مکمل کی تھی
